Product name,Product price,Urls,Reviews count,Star
Introduction to Machine Learning with Python: A Guide for Data Scientists,$59.99,https://www.amazon.com/Data-Smart-Science-Transform-Information/dp/111866146X/ref=sr_1_33?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206380&s=books&sprefix=%2Cstripbooks%2C646&sr=1-33&selectObb=rent," 1,210  ",4.6
"R for Data Science: Import, Tidy, Transform, Visualize, and Model Data",$32.49,https://www.amazon.com/Data-Smart-Science-Transform-Information/dp/111866146X/ref=sr_1_33?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206380&s=books&sprefix=%2Cstripbooks%2C646&sr=1-33, 9  ,4.2
"Hands-On Data Analysis with Pandas: A Python data science handbook for data collection, wrangling, analysis, and visualization, 2nd Edition",$39.99,https://www.amazon.com/Introduction-Machine-Learning-Python-Scientists/dp/1449369413/ref=sr_1_34?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206380&s=books&sprefix=%2Cstripbooks%2C646&sr=1-34, 49  ,4.6
Practical Data Science with Python: Learn tools and techniques from hands-on examples to extract insights from data,$59.99,https://www.amazon.com/Data-Science-Transform-Visualize-Model/dp/1491910399/ref=sr_1_35?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206380&s=books&sprefix=%2Cstripbooks%2C646&sr=1-35, 31  ,4.5
"SQL QuickStart Guide: The Simplified Beginner's Guide to Managing, Analyzing, and Manipulating Data With SQL",$42.50,https://www.amazon.com/Hands-Data-Analysis-Pandas-visualization/dp/1800563450/ref=sr_1_36?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206380&s=books&sprefix=%2Cstripbooks%2C646&sr=1-36, 3  ,5.0
"Everything Data Analytics-A Beginner's Guide to Data Literacy: Understanding the Processes That Turn Data Into Insights (Guides for Data Analytics, Data Visualization, and Communicating Data)",$51.99,https://www.amazon.com/Practical-Data-Science-Python-hands/dp/1801071977/ref=sr_1_37?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206380&s=books&sprefix=%2Cstripbooks%2C646&sr=1-37, 8  ,5.0
"Data Science Projects with Python: A case study approach to gaining valuable insights from real data with machine learning, 2nd Edition",$48.18,https://www.amazon.com/SQL-QuickStart-Guide-Simplified-Manipulating/dp/1945051752/ref=sr_1_38?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206380&s=books&sprefix=%2Cstripbooks%2C646&sr=1-38," 2,605  ",4.6
Data Engineering with AWS: Learn how to design and build cloud-based data transformation pipelines using AWS,$74.66,https://www.amazon.com/Everything-Analytics-Beginners-Guide-Literacy-ebook/dp/B0B26DTBR6/ref=sr_1_39?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206380&s=books&sprefix=%2Cstripbooks%2C646&sr=1-39, 12  ,4.5
Human-Centered Data Science: An Introduction,$44.09,https://www.amazon.com/Data-Science-Projects-Python-approach-ebook/dp/B093HHLHJD/ref=sr_1_40?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206380&s=books&sprefix=%2Cstripbooks%2C646&sr=1-40, 39  ,3.7
Data Science on the Google Cloud Platform: Implementing End-to-End Real-Time Data Pipelines: From Ingest to Machine Learning,$48.99,https://www.amazon.com/Data-Engineering-AWS-Gareth-Eagar/dp/1800560419/ref=sr_1_41?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206380&s=books&sprefix=%2Cstripbooks%2C646&sr=1-41, 30  ,4.8
The Art of Statistics: How to Learn from Data,$64.99,https://www.amazon.com/Human-Centered-Data-Science-Cecilia-Aragon/dp/0262543214/ref=sr_1_42?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206380&s=books&sprefix=%2Cstripbooks%2C646&sr=1-42, 55  ,4.6
Essential PySpark for Scalable Data Analytics: A beginner's guide to harnessing the power and ease of PySpark 3,$24.95,https://www.amazon.com/Data-Science-Google-Cloud-Platform/dp/1098118952/ref=sr_1_43?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206380&s=books&sprefix=%2Cstripbooks%2C646&sr=1-43, 33  ,4.5
Machine Learning Design Interview: Machine Learning System Design Interview,$28.95,https://www.amazon.com/Art-Statistics-How-Learn-Data/dp/1541675703/ref=sr_1_44?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206380&s=books&sprefix=%2Cstripbooks%2C646&sr=1-44, 34  ,4.7
SQL for Data Analysis: Advanced Techniques for Transforming Data into Insights,$26.30,https://www.amazon.com/Essential-PySpark-Scalable-Data-Analytics/dp/1800568878/ref=sr_1_45?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206380&s=books&sprefix=%2Cstripbooks%2C646&sr=1-45, 94  ,4.5
Data Science for Supply Chain Forecasting,$54.99,https://www.amazon.com/Machine-Learning-Design-Interview-System/dp/B09YQWX59Z/ref=sr_1_46?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206380&s=books&sprefix=%2Cstripbooks%2C646&sr=1-46, 59  ,4.3
Practical Data Science with R,$35.99,https://www.amazon.com/SQL-Data-Analysis-Techniques-Transforming/dp/1492088781/ref=sr_1_47?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206380&s=books&sprefix=%2Cstripbooks%2C646&sr=1-47, 37  ,4.6
Data Science and Machine Learning: Mathematical and Statistical Methods (Chapman & Hall/CRC Machine Learning & Pattern Recognition),$39.99,https://www.amazon.com/Data-Science-Supply-Chain-Forecasting/dp/3110671107/ref=sr_1_48?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206380&s=books&sprefix=%2Cstripbooks%2C646&sr=1-48, 31  ,3.6
Getting Started with Data Science: Making Sense of Data with Analytics (IBM Press),$39.99,https://www.amazon.com/Practical-Data-Science-Nina-Zumel/dp/1617295876/ref=sr_1_49?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206381&s=books&sprefix=%2Cstripbooks%2C646&sr=1-49, 9  ,3.9
Hands-On Data Science for Marketing: Improve your marketing strategies with machine learning using Python and R,$41.99,https://www.amazon.com/Data-Science-Machine-Learning-Mathematical/dp/1138492531/ref=sr_1_50?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206381&s=books&sprefix=%2Cstripbooks%2C646&sr=1-50, 6  ,5.0
The Machine Learning Solutions Architect Handbook: Create machine learning platforms to run solutions in an enterprise setting,$68.59,https://www.amazon.com/Getting-Started-Data-Science-Analytics/dp/0133991024/ref=sr_1_51?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206381&s=books&sprefix=%2Cstripbooks%2C646&sr=1-51, 1  ,5.0
"Data Science from Scratch: The #1 Data Science Guide for Everything a Data Scientist Needs to Know: Python, Linear Algebra, Statistics, Coding, Applications, Neural Networks, and Decision Trees",$29.99,https://www.amazon.com/Hands-Data-Science-Marketing-strategies/dp/1789346347/ref=sr_1_52?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206381&s=books&sprefix=%2Cstripbooks%2C646&sr=1-52, 71  ,4.6
Modern Data Science with R (Chapman & Hall/CRC Texts in Statistical Science),$45.95,https://www.amazon.com/Machine-Learning-Solutions-Architect-Handbook/dp/1801072167/ref=sr_1_53?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206381&s=books&sprefix=%2Cstripbooks%2C646&sr=1-53, 92  ,4.4
Be Data Driven: How Organizations Can Harness the Power of Data,$61.19,https://www.amazon.com/Modern-Science-Chapman-Texts-Statistical/dp/0367191490/ref=sr_1_55?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206381&s=books&sprefix=%2Cstripbooks%2C646&sr=1-55&selectObb=rent, 74  ,4.4
The Handbook of Data Science and AI: Generate Value from Data with Machine Learning and Data Analytics,$67.99,https://www.amazon.com/Modern-Science-Chapman-Texts-Statistical/dp/0367191490/ref=sr_1_55?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206381&s=books&sprefix=%2Cstripbooks%2C646&sr=1-55, 1  ,5.0
Data Analytics: A Small Data Approach (Chapman & Hall/CRC Data Science Series),$43.49,https://www.amazon.com/Be-Data-Driven-Organizations-Harness-ebook/dp/B09ZY7Q9D8/ref=sr_1_56?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206381&s=books&sprefix=%2Cstripbooks%2C646&sr=1-56, 6  ,4.8
The Self-Taught Computer Scientist: The Beginner's Guide to Data Structures & Algorithms,$59.99,https://www.amazon.com/Handbook-Data-Science-AI-Analytics/dp/1569908869/ref=sr_1_57?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206381&s=books&sprefix=%2Cstripbooks%2C646&sr=1-57," 3,206  ",4.6
"Data Science Projects with Python: A case study approach to successful data science projects using Python, pandas, and scikit-learn",$18.10,https://www.amazon.com/Data-Analytics-Approach-Chapman-Science/dp/0367609509/ref=sr_1_58?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206381&s=books&sprefix=%2Cstripbooks%2C646&sr=1-58, 135  ,4.4
Quantitative Social Science: An Introduction in tidyverse,$20.49,https://www.amazon.com/Self-Taught-Computer-Scientist-Beginners-Science/dp/1119724414/ref=sr_1_59?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206381&s=books&sprefix=%2Cstripbooks%2C646&sr=1-59, 226  ,4.6
An Introduction to Data Science,$44.59,https://www.amazon.com/Data-Science-Projects-Python-scikit-learn/dp/1838551026/ref=sr_1_60?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206381&s=books&sprefix=%2Cstripbooks%2C646&sr=1-60, 4  ,4.2
Optimization for Data Analysis,$59.99,https://www.amazon.com/Quantitative-Social-Science-Introduction-tidyverse-ebook/dp/B09Y2KJ43F/ref=sr_1_61?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206381&s=books&sprefix=%2Cstripbooks%2C646&sr=1-61, 1  ,5.0
Text as Data: A New Framework for Machine Learning and the Social Sciences,$49.12,https://www.amazon.com/Introduction-Data-Science-Jeffrey-Saltz/dp/150637753X/ref=sr_1_62?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206381&s=books&sprefix=%2Cstripbooks%2C646&sr=1-62&selectObb=rent, 15  ,4.6
