,Nme of book,Price,Rating stars,Rating count,Link to the book
796,The Algorithm Design Manual (Texts in Computer Science),61.99,3.5 out of 5 stars,28,https://www.amazon.com/Algorithm-Design-Manual-Computer-Science/dp/3030542580/ref=sr_1_581?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415262&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-581
797,"The Data Model Resource Book, Vol. 3: Universal Patterns for Data Modeling",25.38,4.4 out of 5 stars,37,https://www.amazon.com/Data-Model-Resource-Book-Vol/dp/0470178450/ref=sr_1_582?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415262&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-582
798,Practical DataOps: Delivering Agile Data Science at Scale,32.99,4.3 out of 5 stars,39,https://www.amazon.com/Practical-DataOps-Delivering-Agile-Science/dp/1484251032/ref=sr_1_583?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415262&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-583
799,Data Science for Business Professionals: A Practical Guide for Beginners (English Edition),32.95,4.0 out of 5 stars,2,https://www.amazon.com/Data-Science-Business-Professionals-Practical/dp/9389423287/ref=sr_1_584?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415262&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-584
800,"Queer Data: Using Gender, Sex and Sexuality Data for Action (Bloomsbury Studies in Digital Cultures)",26.61,5.0 out of 5 stars,8,https://www.amazon.com/Queer-Data-Sexuality-Bloomsbury-Cultures/dp/1350230723/ref=sr_1_585?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415262&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-585
801,Pandas for Everyone: Python Data Analysis (Addison-Wesley Data & Analytics Series),25.78,4.5 out of 5 stars,264,https://www.amazon.com/Pandas-Everyone-Analysis-Addison-Wesley-Analytics/dp/0134546938/ref=sr_1_586?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415262&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-586
802,Doctoring Data: How to sort out medical advice from medical nonsense,17.95,4.7 out of 5 stars,462,https://www.amazon.com/Doctoring-Data-medical-advice-nonsense/dp/1907797467/ref=sr_1_587?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415262&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-587
803,97 Things Every Data Engineer Should Know: Collective Wisdom from the Experts,28.99,4.1 out of 5 stars,33,https://www.amazon.com/Things-Every-Data-Engineer-Should/dp/1492062413/ref=sr_1_588?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415262&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-588
804,Machine Learning for Factor Investing: R Version (Chapman and Hall/CRC Financial Mathematics Series),55.66,4.1 out of 5 stars,15,https://www.amazon.com/Machine-Learning-Factor-Investing-Mathematics/dp/0367545861/ref=sr_1_589?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415262&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-589
805,Assemblies Costs With RSMeans Data 2019,39.77,5.0 out of 5 stars,2,https://www.amazon.com/Assemblies-Costs-RSMeans-Data-2019/dp/1946872504/ref=sr_1_590?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415262&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-590
806,Graph Databases: New Opportunities for Connected Data,27.49,4.1 out of 5 stars,50,https://www.amazon.com/Graph-Databases-Opportunities-Connected-Data/dp/1491930896/ref=sr_1_591?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415262&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-591
807,Cybersecurity for Business: Organization-Wide Strategies to Ensure Cyber Risk Is Not Just an IT Issue,33.50,4.5 out of 5 stars,10,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MDg1OTMyMTgzNDE5Mzk3OjE2NjI0MTUyNjI6c3BfbXRmOjIwMDA0NzM2ODc3MTk5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FCybersecurity-Business-Organization-Wide-Strategies-Ensure%2Fdp%2F1398606146%2Fref%3Dsr_1_592_sspa%3Fcrid%3D3RJJC3J5VZT3C%26keywords%3DData%2Bscience%2Bbooks%26qid%3D1662415262%26refinements%3Dp_n_feature_nine_browse-bin%253A3291437011%26rnid%3D3291435011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C219%26sr%3D1-592-spons%26psc%3D1
808,Accidental Agile Project Manager: Zero to Hero in 7 Iterations (Accidental Project Manager),22.47,4.0 out of 5 stars,30,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MDg1OTMyMTgzNDE5Mzk3OjE2NjI0MTUyNjI6c3BfbXRmOjIwMDA0NTU5NTM2ODA4MTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FAccidental-Agile-Project-Manager-Iterations%2Fdp%2F0989377091%2Fref%3Dsr_1_593_sspa%3Fcrid%3D3RJJC3J5VZT3C%26keywords%3DData%2Bscience%2Bbooks%26qid%3D1662415262%26refinements%3Dp_n_feature_nine_browse-bin%253A3291437011%26rnid%3D3291435011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C219%26sr%3D1-593-spons%26psc%3D1
809,Pre-Algebra (Quickstudy Reference Guides - Academic),6.95,4.7 out of 5 stars,634,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MDg1OTMyMTgzNDE5Mzk3OjE2NjI0MTUyNjI6c3BfbXRmOjIwMDA0OTI3NzgwMzU5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FPre-Algebra-Quickstudy-Reference-Guides-Academic%2Fdp%2F1572227265%2Fref%3Dsr_1_594_sspa%3Fcrid%3D3RJJC3J5VZT3C%26keywords%3DData%2Bscience%2Bbooks%26qid%3D1662415262%26refinements%3Dp_n_feature_nine_browse-bin%253A3291437011%26rnid%3D3291435011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C219%26sr%3D1-594-spons%26psc%3D1
810,Algorithms Illuminated (Part 2): Graph Algorithms and Data Structures,13.99,4.7 out of 5 stars,233,https://www.amazon.com/Algorithms-Illuminated-Part-Graph-Structures/dp/0999282921/ref=sr_1_595?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415262&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-595
811,Practical Simulations for Machine Learning: Using Synthetic Data for AI,46.49,5.0 out of 5 stars,1,https://www.amazon.com/Practical-Simulations-Machine-Learning-Synthetic/dp/1492089923/ref=sr_1_596?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415262&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-596
812,Next Generation Sequencing and Data Analysis (Learning Materials in Biosciences),83.14,4.2 out of 5 stars,4,https://www.amazon.com/Generation-Sequencing-Analysis-Materials-Biosciences/dp/3030624897/ref=sr_1_597?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415262&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-597
813,Probabilistic Data Structures and Algorithms for Big Data Applications,42.70,4.2 out of 5 stars,12,https://www.amazon.com/Probabilistic-Data-Structures-Algorithms-Applications/dp/3748190484/ref=sr_1_598?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415262&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-598
814,Education Data Done Right: Lessons from the Trenches of Applied Data Science,15.00,5.0 out of 5 stars,3,https://www.amazon.com/Education-Data-Done-Right-Trenches/dp/1698152310/ref=sr_1_599?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415262&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-599
815,FM 5-34 Engineer Field Data: April 2003,32.99,4.8 out of 5 stars,52,https://www.amazon.com/FM-5-34-Engineer-Field-Data/dp/1978089724/ref=sr_1_600?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415262&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-600
816,Product Analytics: Applied Data Science Techniques for Actionable Consumer Insights (Pearson Business Analytics Series),49.99,4.2 out of 5 stars,17,https://www.amazon.com/Applied-Data-Science-Transforming-Actionable/dp/0135258529/ref=sr_1_601?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415262&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-601
817,Mastering Python for Data Science,36.35,3.7 out of 5 stars,20,https://www.amazon.com/Mastering-Python-Science-Samir-Madhavan/dp/1784390151/ref=sr_1_602?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415262&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-602
818,Data Science for Dummies: 2nd Edition,0.00,4.4 out of 5 stars,204,https://www.amazon.com/Data-Science-Dummies-2nd/dp/B07WHM8XVD/ref=sr_1_603?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415262&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-603
819,Data Analysis for the Life Sciences with R,42.71,4.3 out of 5 stars,15,https://www.amazon.com/Data-Analysis-Life-Sciences-R-ebook/dp/B01N6Y3IVP/ref=sr_1_604?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415262&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-604
820,"Introduction to Python in Earth Science Data Analysis: From Descriptive Statistics to Machine Learning (Springer Textbooks in Earth Sciences, Geography and Environment)",72.30,4.5 out of 5 stars,2,https://www.amazon.com/Introduction-to-Python-in-Earth-Science-Data-AnalysisFrom-Descriptive-Statistics-to-Machine-Learning-Springer-Textbooks-in-Earth-Sciences_-Geography-and-Environment/dp/3030780546/ref=sr_1_605?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415262&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-605
821,Deep Learning (Adaptive Computation and Machine Learning series),27.14,4.3 out of 5 stars,"1,852",https://www.amazon.com/Deep-Learning-Adaptive-Computation-Machine/dp/0262035618/ref=sr_1_606?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415262&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-606
822,Oracle Database Administration Interview Questions You'll Most Likely Be Asked: Interview Questions You'll Most Likely Be Asked (Job Interview Questions),23.99,4.2 out of 5 stars,32,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MDg1OTMyMTgzNDE5Mzk3OjE2NjI0MTUyNjI6c3BfYnRmOjIwMDA1Nzk1MDI5MTQ1MTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FOracle-Database-Administration-Interview-Questions%2Fdp%2F1946383007%2Fref%3Dsr_1_607_sspa%3Fcrid%3D3RJJC3J5VZT3C%26keywords%3DData%2Bscience%2Bbooks%26qid%3D1662415262%26refinements%3Dp_n_feature_nine_browse-bin%253A3291437011%26rnid%3D3291435011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C219%26sr%3D1-607-spons%26psc%3D1
823,"Field Guide to Digital Transformation, A (The Pearson Digital Enterprise Series from Thomas Erl)",25.01,4.4 out of 5 stars,4,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MDg1OTMyMTgzNDE5Mzk3OjE2NjI0MTUyNjI6c3BfYnRmOjIwMDA4MDA1ODY2NjU5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FDigital-Transformation-Pearson-Service-Technology%2Fdp%2F0137571844%2Fref%3Dsr_1_608_sspa%3Fcrid%3D3RJJC3J5VZT3C%26keywords%3DData%2Bscience%2Bbooks%26qid%3D1662415262%26refinements%3Dp_n_feature_nine_browse-bin%253A3291437011%26rnid%3D3291435011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C219%26sr%3D1-608-spons%26psc%3D1
824,The PI Guidebook: How the Promotability Index® Can Help You Get Ahead in Your Career,18.09,4.8 out of 5 stars,103,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MDg1OTMyMTgzNDE5Mzk3OjE2NjI0MTUyNjI6c3BfYnRmOjIwMDA5Nzg2NjQ0MzU3MTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FPI-Guidebook-Promotability-Index%25C2%25AE-Career%2Fdp%2F1737029308%2Fref%3Dsr_1_609_sspa%3Fcrid%3D3RJJC3J5VZT3C%26keywords%3DData%2Bscience%2Bbooks%26qid%3D1662415262%26refinements%3Dp_n_feature_nine_browse-bin%253A3291437011%26rnid%3D3291435011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C219%26sr%3D1-609-spons%26psc%3D1
825,Python Machine Learning: A Step by Step Beginner’s Guide to Learn Machine Learning Using Python (Programming Languages for Beginners),34.95,4.4 out of 5 stars,31,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozOTk2Mzc4NDg5NzU3NzA6MTY2MjQxNTI3MDpzcF9hdGZfbmV4dDoyMDAwNDU2MzQ3MDYxOTg6OjA6Og&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FPython-Machine-Learning-Beginners-Programming%2Fdp%2FB09RPGVLTQ%2Fref%3Dsr_1_601_sspa%3Fcrid%3D3RJJC3J5VZT3C%26keywords%3DData%2Bscience%2Bbooks%26qid%3D1662415270%26refinements%3Dp_n_feature_nine_browse-bin%253A3291437011%26rnid%3D3291435011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C219%26sr%3D1-601-spons%26psc%3D1
826,"On Rationality, Artificial Intelligence And Economics",88.00,0,0,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozOTk2Mzc4NDg5NzU3NzA6MTY2MjQxNTI3MDpzcF9hdGZfbmV4dDoyMDAwNTc5MzEyNDE3OTg6OjA6Og&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FRationality-Artificial-Intelligence-Economics%2Fdp%2F9811255113%2Fref%3Dsr_1_602_sspa%3Fcrid%3D3RJJC3J5VZT3C%26keywords%3DData%2Bscience%2Bbooks%26qid%3D1662415270%26refinements%3Dp_n_feature_nine_browse-bin%253A3291437011%26rnid%3D3291435011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C219%26sr%3D1-602-spons%26psc%3D1
827,VBA Automation for Excel 2019 Cookbook: Solutions to automate routine tasks and increase productivity with Excel and other MS Office applications,39.99,4.0 out of 5 stars,57,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozOTk2Mzc4NDg5NzU3NzA6MTY2MjQxNTI3MDpzcF9hdGZfbmV4dDoyMDAwMzI2NjY2NDY5NzE6OjA6Og&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FVBA-Automation-Excel-2019-Cookbook%2Fdp%2F1789610036%2Fref%3Dsr_1_603_sspa%3Fcrid%3D3RJJC3J5VZT3C%26keywords%3DData%2Bscience%2Bbooks%26qid%3D1662415270%26refinements%3Dp_n_feature_nine_browse-bin%253A3291437011%26rnid%3D3291435011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C219%26sr%3D1-603-spons%26psc%3D1
828,Analyzing Qualitative Data (Qualitative Research Kit),28.80,4.7 out of 5 stars,36,https://www.amazon.com/Analyzing-Qualitative-Data-Research-Kit/dp/1473915813/ref=sr_1_604?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415270&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-604
829,Science for Policy Handbook,79.95,0,0,https://www.amazon.com/Science-Policy-Handbook-Vladimir-Sucha/dp/0128225963/ref=sr_1_605?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415270&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-605
830,Modern Data Protection: Ensuring Recoverability of All Modern Workloads,37.00,4.7 out of 5 stars,10,https://www.amazon.com/Modern-Data-Protection-Recoverability-Workloads/dp/1492094056/ref=sr_1_606?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415270&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-606
831,"BCBA notebook,Collecting Data Is My Cardio: Journal Note Book for Data Collection,Statisticians,Funny gift idea For Behavior Analyst,Data Nerd,Data Scientist,Data Analyst,ABA Statistics Scientist",6.99,0,0,https://www.amazon.com/BCBA-notebook-Collecting-Data-Cardio/dp/B0B5Q84QP9/ref=sr_1_607?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415270&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-607
832,Process Mining: Data Science in Action,53.59,4.6 out of 5 stars,45,https://www.amazon.com/Process-Mining-Data-Science-Action/dp/3662570416/ref=sr_1_608?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415270&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-608
833,"Data Mining Techniques: For Marketing, Sales, and Customer Relationship Management",50.00,4.4 out of 5 stars,97,https://www.amazon.com/Data-Mining-Techniques-Relationship-Management/dp/0470650931/ref=sr_1_609?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415270&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-609
834,"Designing Experiments and Analyzing Data: A Model Comparison Perspective, Third Edition",32.18,4.9 out of 5 stars,21,https://www.amazon.com/Designing-Experiments-Analyzing-Data-Perspective/dp/1138892289/ref=sr_1_610?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415270&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-610
835,"Mastering Tableau 2021: Implement advanced business intelligence techniques and analytics with Tableau, 3rd Edition",46.99,4.4 out of 5 stars,83,https://www.amazon.com/Mastering-Tableau-2021-intelligence-techniques/dp/1800561644/ref=sr_1_611?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415270&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-611
836,Data Democratization with Domo: Bring together every component of your business to make better data-driven decisions using Domo,31.19,4.8 out of 5 stars,6,https://www.amazon.com/Data-Democratization-Domo-component-data-driven-ebook/dp/B09T3H9YP1/ref=sr_1_612?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415270&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-612
837,"Data Science in Context: Foundations, Challenges, Opportunities",39.99,0,0,https://www.amazon.com/Data-Science-Context-Foundations-Opportunities/dp/1009272209/ref=sr_1_613?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415270&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-613
838,Introduction to Statistical and Machine Learning Methods for Data Science,29.95,5.0 out of 5 stars,2,https://www.amazon.com/Introduction-Statistical-Machine-Learning-Methods/dp/1953329608/ref=sr_1_614?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415270&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-614
839,"The Decision Maker's Handbook to Data Science: A Guide for Non-Technical Executives, Managers, and Founders",10.50,4.6 out of 5 stars,6,https://www.amazon.com/Decision-Makers-Handbook-Data-Science-ebook/dp/B0823GLDM6/ref=sr_1_615?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415270&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-615
840,Business Intelligence Guidebook: From Data Integration to Analytics,54.95,4.4 out of 5 stars,91,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozOTk2Mzc4NDg5NzU3NzA6MTY2MjQxNTI3MDpzcF9tdGY6MjAwMDg0OTQxODA0MzIxOjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FBusiness-Intelligence-Guidebook-Integration-Analytics%2Fdp%2F012411461X%2Fref%3Dsr_1_616_sspa%3Fcrid%3D3RJJC3J5VZT3C%26keywords%3DData%2Bscience%2Bbooks%26qid%3D1662415270%26refinements%3Dp_n_feature_nine_browse-bin%253A3291437011%26rnid%3D3291435011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C219%26sr%3D1-616-spons%26psc%3D1
841,Be Data Literate: The Data Literacy Skills Everyone Needs To Succeed,15.90,4.2 out of 5 stars,98,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozOTk2Mzc4NDg5NzU3NzA6MTY2MjQxNTI3MDpzcF9tdGY6MjAwMDg2NzQ0MTUxNzExOjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FBe-Data-Literate-Literacy-Everyone%2Fdp%2F1789668018%2Fref%3Dsr_1_617_sspa%3Fcrid%3D3RJJC3J5VZT3C%26keywords%3DData%2Bscience%2Bbooks%26qid%3D1662415270%26refinements%3Dp_n_feature_nine_browse-bin%253A3291437011%26rnid%3D3291435011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C219%26sr%3D1-617-spons%26psc%3D1
842,"Models, Metaphor and Meaning: How Data Models use Metaphor to Convey Meaning",22.99,4.7 out of 5 stars,7,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozOTk2Mzc4NDg5NzU3NzA6MTY2MjQxNTI3MDpzcF9tdGY6MjAwMDY3NTM0MDc3Mzk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FModels-Metaphor-Meaning-Data-Convey%2Fdp%2F1477590765%2Fref%3Dsr_1_618_sspa%3Fcrid%3D3RJJC3J5VZT3C%26keywords%3DData%2Bscience%2Bbooks%26qid%3D1662415270%26refinements%3Dp_n_feature_nine_browse-bin%253A3291437011%26rnid%3D3291435011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C219%26sr%3D1-618-spons%26psc%3D1
843,Data Science with Jupyter: Master Data Science skills with easy-to-follow Python examples (English Edition),9.95,4.0 out of 5 stars,39,https://www.amazon.com/Data-Science-Jupyter-easy-follow-ebook/dp/B07Q2ZFKDS/ref=sr_1_619?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415270&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-619
844,Behind Every Good Decision,19.99,4.4 out of 5 stars,90,https://www.amazon.com/Behind-Every-Good-Decision-Profitable/dp/1400231043/ref=sr_1_620?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415270&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-620
845,Heard In Data Science Interviews: Over 650 Most Commonly Asked Interview Questions & Answers,37.99,3.2 out of 5 stars,52,https://www.amazon.com/Heard-Data-Science-Interviews-Interview/dp/1727287320/ref=sr_1_621?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415270&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-621
846,Decolonial Feminist Research (Futures of Data Analysis in Qualitative Research),36.59,5.0 out of 5 stars,4,https://www.amazon.com/Decolonial-Feminist-Research-Analysis-Qualitative/dp/0367222345/ref=sr_1_622?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415270&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-622
847,Algorithmic Trading: Step-by-Step Guide to Develop Your Own Winning Trading Strategy Using Financial Machine Learning Without Having to Learn Code,0.00,3.5 out of 5 stars,35,https://www.amazon.com/Algorithmic-Trading-Step-Step-Financial/dp/B09KZJWFTH/ref=sr_1_623?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415270&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-623
848,Theory of Information and its Value,38.70,0,0,https://www.amazon.com/Theory-Information-Value-Ruslan-Stratonovich-ebook/dp/B083W1YS83/ref=sr_1_624?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415270&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-624
849,"Statistics (the Easier Way) with R, 3rd Ed: an informal text on statistics and data science",37.64,4.4 out of 5 stars,24,https://www.amazon.com/Statistics-Easier-Way-3rd-statistics/dp/0996916032/ref=sr_1_625?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415270&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-625
850,"Data Center Handbook: Plan, Design, Build, and Operations of a Smart Data Center",51.51,3.6 out of 5 stars,6,https://www.amazon.com/Data-Center-Handbook-Design-Operations/dp/1119597501/ref=sr_1_626?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415270&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-626
