,Nme of book,Price,Rating stars,Rating count,Link to the book
22,Data Science for Mathematicians (CRC Press/Chapman and Hall Handbooks in Mathematics Series),121.13,0,0,https://www.amazon.com/Science-Mathematicians-Chapman-Handbooks-Mathematics/dp/0367027054/ref=sr_1_23?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662414980&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-23
23,Data Analysis for Social Science: A Friendly and Practical Introduction,39.95,0,0,https://www.amazon.com/Data-Analysis-Social-Science-Introduction/dp/0691199434/ref=sr_1_24?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662414980&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-24
24,Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking,36.53,4.5 out of 5 stars,966,https://www.amazon.com/Data-Science-Business-Data-Analytic-Thinking/dp/1449361323/ref=sr_1_25?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662414980&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-25
25,Data Smart: Using Data Science to Transform Information into Insight,21.10,4.5 out of 5 stars,344,https://www.amazon.com/Data-Smart-Science-Transform-Information/dp/111866146X/ref=sr_1_26?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662414980&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-26
26,Python Data Science Handbook: Essential Tools for Working with Data,68.59,0,0,https://www.amazon.com/Python-Data-Science-Handbook-Essential/dp/1098121228/ref=sr_1_27?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662414980&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-27
27,"Graph Neural Networks: Foundations, Frontiers, and Applications",85.38,4.6 out of 5 stars,6,https://www.amazon.com/Graph-Neural-Networks-Foundations-Applications/dp/9811660530/ref=sr_1_28?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662414980&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-28
28,Practical Linear Algebra for Data Science: From Core Concepts to Applications Using Python,69.99,0,0,https://www.amazon.com/Practical-Linear-Algebra-Data-Science/dp/1098120612/ref=sr_1_29?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662414980&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-29
29,Text as Data: A New Framework for Machine Learning and the Social Sciences,35.99,4.8 out of 5 stars,15,https://www.amazon.com/Text-Data-Framework-Learning-Sciences/dp/0691207550/ref=sr_1_30?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662414980&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-30
30,Excel 2022: The Ultimate all-in-one crash course for beginners to master Everything of Excel 2022. The Step-by-Step Advanced skills workbook on how to create & manipulate Power Excel Formulas & Grids,16.97,4.4 out of 5 stars,84,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxOTA2NDY3NzUxNTQ3ODMxOjE2NjI0MTQ5ODA6c3BfYnRmOjIwMDAzODE5MjE5NzU5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FExcel-2022-all-Step-Step%2Fdp%2FB09SNKVG7R%2Fref%3Dsr_1_31_sspa%3Fcrid%3D3RJJC3J5VZT3C%26keywords%3DData%2Bscience%2Bbooks%26qid%3D1662414980%26refinements%3Dp_n_feature_nine_browse-bin%253A3291437011%26rnid%3D3291435011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C219%26sr%3D1-31-spons%26psc%3D1
31,Excel 2022: Dominate Microsoft Excel & Master the 101 Most Popular Formulas from Scratch | Become a Pro in 5 Minutes a Day with Practical and Step-by-Step Tutorials,6.95,4.8 out of 5 stars,112,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxOTA2NDY3NzUxNTQ3ODMxOjE2NjI0MTQ5ODA6c3BfYnRmOjIwMDA4NDg1NzkxOTQ5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FExcel-2022-Microsoft-Step-Step%2Fdp%2FB0B6LBBGXK%2Fref%3Dsr_1_32_sspa%3Fcrid%3D3RJJC3J5VZT3C%26keywords%3DData%2Bscience%2Bbooks%26qid%3D1662414980%26refinements%3Dp_n_feature_nine_browse-bin%253A3291437011%26rnid%3D3291435011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C219%26sr%3D1-32-spons%26psc%3D1
